"","Model","Species ID","Mass","sdlog Mass","Temperature","sd Temp","MeanDispersal","ProbDisp","Climate Change Scenario","Extinctionrisk","Mean TimestepsTillExtinction"
"1","Beverton",1,0.0669864506088197,0.000493503204081208,284.259531770926,15.0705493402202,0.399945403311867,0.01,"Scenario1: 0,00",0,0
"2","Beverton",1,0.0669864506088197,0.000493503204081208,284.259531770926,15.0705493402202,0.399945403311867,0.01,"Scenario2: 0,02",0,0
"3","Beverton",1,0.0669864506088197,0.000493503204081208,284.259531770926,15.0705493402202,0.399945403311867,0.01,"Scenario3: 0,04",0,0
"4","Beverton",1,0.0669864506088197,0.000493503204081208,284.259531770926,15.0705493402202,0.399945403311867,0.01,"Scenario2: 0,06",0,0
"5","Beverton",2,0.0511681849695742,0.000978159362915903,280.472010474745,16.6484362971969,0.379754635742865,0.01,"Scenario1: 0,00",0,0
"6","Beverton",2,0.0511681849695742,0.000978159362915903,280.472010474745,16.6484362971969,0.379754635742865,0.01,"Scenario2: 0,02",0,0
"7","Beverton",2,0.0511681849695742,0.000978159362915903,280.472010474745,16.6484362971969,0.379754635742865,0.01,"Scenario3: 0,04",0,0
"8","Beverton",2,0.0511681849695742,0.000978159362915903,280.472010474745,16.6484362971969,0.379754635742865,0.01,"Scenario2: 0,06",0,0
"9","Beverton",3,0.0482914761966094,0.00124447687482461,297.495089234412,11.1899629414547,0.376897507042158,0.01,"Scenario1: 0,00",0,0
"10","Beverton",3,0.0482914761966094,0.00124447687482461,297.495089234412,11.1899629414547,0.376897507042158,0.01,"Scenario2: 0,02",0,0
"11","Beverton",3,0.0482914761966094,0.00124447687482461,297.495089234412,11.1899629414547,0.376897507042158,0.01,"Scenario3: 0,04",0,0
"12","Beverton",3,0.0482914761966094,0.00124447687482461,297.495089234412,11.1899629414547,0.376897507042158,0.01,"Scenario2: 0,06",0,0
"13","Beverton",4,0.0810949648683891,0.00166470707859844,287.089403663389,19.6136985165067,0.432233165316284,0.01,"Scenario1: 0,00",0,0
"14","Beverton",4,0.0810949648683891,0.00166470707859844,287.089403663389,19.6136985165067,0.432233165316284,0.01,"Scenario2: 0,02",0,0
"15","Beverton",4,0.0810949648683891,0.00166470707859844,287.089403663389,19.6136985165067,0.432233165316284,0.01,"Scenario3: 0,04",0,0
"16","Beverton",4,0.0810949648683891,0.00166470707859844,287.089403663389,19.6136985165067,0.432233165316284,0.01,"Scenario2: 0,06",0,0
"17","Beverton",5,0.0868979202583432,0.000482445734553039,293.614122821577,9.14759922632948,0.200758655478712,0.01,"Scenario1: 0,00",0,0
